id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3132	ruel, jean-claude	0,2612	-0,7863	118	0	0	3	94	4,2379	2009,3333	31,3333	1,4126
3143	russo, danilo	-0,1223	1,1117	119	0	0	2	125	5,6483	2016,5	62,5	2,8242
3239	schoettle, anna w.	0,34	0,4167	120	0	0	2	35	1,95	2018	17,5	0,975
3300	sharma, ajay	0,8121	-0,2308	121	0	0	3	21	1,8437	2020,6667	7	0,6146
3362	sist, plinio	0,2379	-1,0676	122	0	0	2	33	1,0622	2013	16,5	0,5311
3389	snook, laura k.	-0,3664	1,0944	123	0	0	2	109	2,2811	2004	54,5	1,1405
3490	sullivan, thomas p.	0,8958	-0,6718	124	0	0	2	80	1,5875	2003	40	0,7937
3522	szwagrzyk, jerzy	-0,8277	0,8005	125	0	0	2	135	3,9547	2009,5	67,5	1,9774
3544	tahvonen, olli	1,1632	-0,1207	126	0	0	2	23	2,6908	2022	11,5	1,3454
3591	thompson, ian d.	0,9512	-0,4274	127	0	0	3	177	4,6673	2002,6667	59	1,5558
3730	van etten, eddie j.b.	0,8384	-0,5261	128	0	0	2	127	4,1758	2015,5	63,5	2,0879
3787	viani, ricardo augusto gorne	-1,1158	0,0134	129	0	0	2	3	0,447	2022,5	1,5	0,2235
3888	webb, edward l.	0,7083	0,8557	130	0	0	2	27	0,6292	2001,5	13,5	0,3146
4020	yoshida, toshiya	0,5052	-1,0119	131	0	0	2	19	0,584	2013	9,5	0,292
