id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2919	species composition	-0.1683	1.1248	2	6	6	13	2017.4615	12.6154	0.5005
2921	species diversity	-0.7259	-0.5852	4	15	16	16	2014.0625	29.5	0.934
2925	species richness	-0.5696	0.6195	3	21	27	20	2009.5	59.9	1.672
2965	stand structure	-0.7745	0.43	3	14	20	13	2013.7692	28.4615	0.9934
3021	succession	-0.1113	0.257	2	31	43	32	2009.2812	41.8438	1.0388
3040	survival	1.0324	-0.5018	1	14	23	14	2015.2857	15.2857	0.7307
3045	sustainability	-0.4281	-0.1686	3	17	22	14	2012.0714	30.9286	0.7624
3049	sustainable forest management	-0.4658	-0.0273	3	27	38	30	2015.9	21.3	0.9123
3053	sustainable management	-0.871	-0.3349	3	9	10	13	2014.3077	14.6154	0.6408
3114	thinning	0.3477	-0.755	1	12	12	18	2013.5	24	1.0154
3184	tree improvement	-0.0131	-1.0651	6	7	7	11	2011.0909	14.0909	0.6353
3224	tropical forest	-0.7315	0.2716	3	22	29	24	2013.3333	26.7083	0.908
3371	wildfire	0.7478	0.2359	1	20	32	20	2018.35	19.2	1.1507
